id,path_type,cross_track_error,lap_time
customPP_0,midline,0.4210278567037078,22.338412761688232
customPP_1,midline,0.4291728886792378,22.1043348312378
customPP_2,optimal,0.6501203892829532,21.39895439147949
customPP_3,optimal,0.6601631921075269,21.28921604156494
customPP_4,optimal,0.870381315627381,21.216493129730225
customPP_5,optimal,0.8230103459776863,20.19632768630981
regulatedPP_0,optimal,0.8530888774956508,19.89362359046936
regulatedPP_1,optimal,0.8602465714164028,20.009158849716187
regulatedPP_2,optimal,0.8402333134925322,19.993423223495483
regulatedPP_3,optimal,0.8601831229565741,19.99582982063293
regulatedPP_4,optimal,0.8556984206424757,20.063286781311035
regulatedPP_6,midline,0.708362159626183,20.52617692947388
regulatedPP_7,midline,0.7018541983400808,20.481035947799683
regulatedPP_8,midline,0.7036158826373193,20.552192211151123
regulatedPP_9,midline,0.706207267840862,20.506492137908936
regulatedPP_10,midline,0.706051129590536,20.598735094070435
customPP_11,midline,0.6225929624938147,21.566555976867676
