id,path_type,cross_track_error,lap_time
customPP_12,midline,0.0999476313808512,21.49967506600024
customPP_13,midline,0.1006271392721696,21.440601721999883
customPP_14,midline,0.1004723428631169,21.53946143799976
customPP_15,midline,0.1028599922598035,21.40011348600001
customPP_18,midline,0.0989667815348913,21.202103739999984
customPP_19,optimal,0.1241026502304092,20.69990421199964
customPP_20,optimal,0.1197675497046382,20.62002938200021
customPP_23,optimal,0.1231319060464691,20.59988947300008
customPP_24,optimal,0.1206374527859543,20.680051237000043
customPP_25,optimal,0.1241204891221386,20.64028921199952
regulatedPP_26,optimal,0.1202540587537196,20.160283310000523
regulatedPP_27,optimal,0.1237819509689194,19.940200166000068
regulatedPP_28,optimal,0.1236093208051314,20.279867430000195
regulatedPP_29,optimal,0.1281008230355507,20.14082537200011
regulatedPP_30,midline,0.0927347402357928,20.799953024000388
regulatedPP_31,midline,0.0922553086400298,20.6532110119997
regulatedPP_32,midline,0.095390368886353,20.89373484099997
regulatedPP_33,midline,0.0934032383114273,20.827485089999755
regulatedPP_34,midline,0.09305872900513158,20.780121108999992
